time,open,high,low,close,volume
2022-02-04 20:00:00,137.35,137.35,137.35,137.35,150
2022-02-04 19:00:00,137.2,137.2,137.2,137.2,1597
2022-02-04 18:15:00,137.15,137.2,137.15,137.2,690
2022-02-04 18:00:00,136.93,136.93,136.93,136.93,100
2022-02-04 17:15:00,137.03,137.03,137.01,137.01,963
2022-02-04 17:00:00,137.3,137.31,137.3,137.3,4585
2022-02-04 16:45:00,137.13,137.3,137.13,137.3,4693
2022-02-04 16:15:00,137.15,137.15,137.15,137.15,88978
2022-02-04 16:00:00,137.66,137.67,137.12,137.13,458967
2022-02-04 15:45:00,137.75,138.03,137.67,137.6727,214030
2022-02-04 15:30:00,138.16,138.17,137.69,137.75,176929
2022-02-04 15:15:00,137.76,138.18,137.745,138.15,127107
2022-02-04 15:00:00,137.68,137.8,137.56,137.765,112678
2022-02-04 14:45:00,137.76,137.89,137.67,137.7,103433
2022-02-04 14:30:00,137.7,137.76,137.4279,137.76,82356
2022-02-04 14:15:00,137.7,137.73,137.56,137.72,100897
2022-02-04 14:00:00,137.81,137.84,137.5,137.682,78494
2022-02-04 13:45:00,137.52,137.91,137.5097,137.83,79941
2022-02-04 13:30:00,137.715,137.81,137.52,137.52,91575
2022-02-04 13:15:00,137.47,137.87,137.46,137.71,100929
2022-02-04 13:00:00,137.81,137.825,137.4,137.46,82008
2022-02-04 12:45:00,137.57,137.85,137.52,137.84,65485
2022-02-04 12:30:00,137.16,137.62,137.16,137.58,71010
2022-02-04 12:15:00,136.99,137.23,136.915,137.14,84411
2022-02-04 12:00:00,137.08,137.21,136.9601,137.01,102282
2022-02-04 11:45:00,136.51,137.3,136.51,137.06,116699
2022-02-04 11:30:00,136.42,136.63,136.35,136.51,120810
2022-02-04 11:15:00,136.4,136.61,136.215,136.44,181976
2022-02-04 11:00:00,136.9,136.9,136.4,136.42,154799
2022-02-04 10:45:00,137.27,137.43,136.81,136.94,154083
2022-02-04 10:30:00,137.86,138.11,137.25,137.25,134964
2022-02-04 10:15:00,138.05,138.13,137.436,137.81,152696
2022-02-04 10:00:00,138.625,138.625,137.98,138.08,170468
2022-02-04 09:45:00,137.86,138.82,137.28,138.53,272329
2022-02-04 09:30:00,137.25,137.78,137.12,137.78,3047
2022-02-04 09:15:00,137.01,137.01,136.8,136.8,2096
2022-02-04 08:45:00,137.4,137.4,136.81,137.25,1641
2022-02-04 08:30:00,137.01,137.4,137.01,137.4,303
2022-02-04 08:15:00,137.26,137.69,137.02,137.25,2005
2022-02-04 08:00:00,136.88,137.0,136.88,137.0,839
2022-02-04 07:45:00,137.0,137.0,136.98,136.98,303
2022-02-04 07:15:00,137.06,137.06,137.0,137.0,823
2022-02-04 06:30:00,137.08,137.08,137.08,137.08,140
2022-02-04 06:15:00,137.17,137.27,136.51,136.51,726
2022-02-04 06:00:00,137.26,137.27,137.26,137.27,586
2022-02-04 05:45:00,137.2,137.21,137.2,137.21,354
2022-02-04 05:30:00,138.0,138.0,138.0,138.0,200
2022-02-04 05:15:00,138.02,138.02,138.02,138.02,338
